no.,Mo lID,Molecule,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8
38,PCB  038.HIN,"3,4,5-trichloro-1,1’-biphenyl",44,100,160,49.411,5.4686,33.6667,24.419,5.3976
39,PCB  039.HIN,"3,5,4’-trichloro-1,1’-biphenyl",44,96,146,47.1409,5.7247,34.5,23.1619,5.6214
40,PCB  040.HIN,"2,3,2’,3’-tetrachloro-1,1’- biphenyl",48,112,189,54.9722,5.5642,36.8,26.9897,5.4492
41,PCB  041.HIN,"2,3,4,2’-tetrachloro-1,1’- biphenyl",48,112,189,55.01,5.577,36.6,27.0282,5.4746
42,PCB  042.HIN,"2,3,2’,4’-tetrachloro-1,1’- biphenyl",48,110,182,53.9236,5.6906,36.85,26.4425,5.577
43,PCB  043.HIN,"2,3,5,2’-tetrachloro-1,1’- biphenyl",48,110,184,53.9017,5.7679,36.9667,26.423,5.6492
44,PCB  044.HIN,"2,3,2’,5’-tetrachloro-1,1’- biphenyl",48,110,184,54.0586,5.7006,36.55,26.5754,5.5968
45,PCB  045.HIN,"2,3,6,2’-tetrachloro-1,1’- biphenyl",48,112,192,54.9048,5.6556,36.65,26.9249,5.5564
46,PCB  046.HIN,"2,3,2’,6’-tetrachloro-1,1’- biphenyl",48,112,190,54.7466,5.6358,37.1,26.7721,5.5175
47,PCB  047.HIN,"2,4,2’,4’-tetrachloro-1,1’- biphenyl",48,108,175,52.8749,5.8169,36.9,25.8952,5.7048
48,PCB  048.HIN,"2,4,5,2’-tetrachloro-1,1’- biphenyl",48,110,184,54.1803,5.6804,36.1,26.6901,5.596
49,PCB  049.HIN,"2,4,2’,5’-tetrachloro-1,1’- biphenyl",48,108,177,53.01,5.827,36.6,26.0282,5.7246
50,PCB  050.HIN,"2,4,6,2’-tetrachloro-1,1’- biphenyl",48,110,183,53.541,5.8294,37.5667,26.0725,5.6977
51,PCB  051.HIN,"2,4,2’,6’-tetrachloro-1,1’- biphenyl",48,110,183,53.6979,5.7621,37.15,26.2249,5.6453
52,PCB  052.HIN,"2,5,2’,5’-tetrachloro-1,1’- biphenyl",48,108,179,53.1451,5.837,36.3,26.1611,5.7444
53,PCB  053.HIN,"2,5,2’,6’-tetrachloro-1,1’- biphenyl",48,110,185,53.833,5.7722,36.85,26.3578,5.6652
54,PCB  054.HIN,"2,6,2’,6’-tetrachloro-1,1’- biphenyl",48,112,192,54.5665,5.7088,37.3333,26.6,5.5889
56,PCB 056.HIN,"2,3,3’,4’-tetrachloro-1,1’-biphenyl",48,110,181,54.2854,5.5496,35.95,26.7956,5.4683
57,PCB 057.HIN,"2,3,5,3’-tetrachloro-1,1’-biphenyl",48,108,176,52.9204,5.8341,37.0667,25.9429,5.7071
58,PCB 058.HIN,"2,3,3’,5’-tetrachloro-1,1’-biphenyl",48,108,174,52.772,5.8199,37.45,25.8004,5.6802
59,PCB 059.HIN,"2,3,6,3’-tetrachloro-1,1’-biphenyl",48,110,183,53.8731,5.7196,36.8333,26.3952,5.6103
60,PCB 060.HIN,"2,3,4,4’-tetrachloro-1,1’-biphenyl",48,110,181,54.2149,5.5866,36.1167,26.729,5.5016
61,PCB 061.HIN,"2,3,4,5-tetrachloro-1,1’-biphenyl",48,112,190,55.1066,5.6109,36.4833,27.1238,5.5095
62,PCB 062.HIN,"2,3,4,6-tetrachloro-1,1’-biphenyl",48,112,190,54.8159,5.6774,36.9167,26.8381,5.5675
63,PCB 063.HIN,"2,3,5,4’-tetrachloro-1,1’-biphenyl",48,108,176,53.1066,5.7776,36.4833,26.1238,5.6762
64,PCB 064.HIN,"2,3,6,4’-tetrachloro-1,1’-biphenyl",48,110,183,54.0593,5.6632,36.25,26.5762,5.5794
65,PCB 065.HIN,"2,3,5,6-tetrachloro-1,1’-biphenyl",48,112,192,54.9364,5.6845,36.6667,26.9524,5.581
66,PCB 066.HIN,"2,4,3’,4’-tetrachloro-1,1’-biphenyl",48,108,174,53.2368,5.6759,36,26.2484,5.596
67,PCB 067.HIN,"2,4,5,3’-tetrachloro-1,1’-biphenyl",48,108,176,53.199,5.7465,36.2,26.2099,5.654
68,PCB 068.HIN,"2,4,3’,5’-tetrachloro-1,1’-biphenyl",48,106,167,51.7233,5.9463,37.5,25.2532,5.8079
69,PCB 069.HIN,"2,4,6,3’-tetrachloro-1,1’-biphenyl",48,108,174,52.5093,5.8935,37.75,25.5429,5.7516
70,PCB 070.HIN,"2,5,3’,4’-tetrachloro-1,1’-biphenyl",48,108,176,53.3718,5.686,35.7,26.3813,5.6159
71,PCB 071.HIN,"2,6,3’,4’-tetrachloro-1,1’-biphenyl",48,110,181,54.0094,5.619,36.3333,26.5286,5.5325
72,PCB 072.HIN,"2,5,3’,5’-tetrachloro-1,1’-biphenyl",48,106,169,51.8584,5.9563,37.2,25.3861,5.8278
73,PCB 073.HIN,"2,6,3’,5’-tetrachloro-1,1’-biphenyl",48,108,174,52.4959,5.8894,37.8333,25.5333,5.7444
74,PCB 074.HIN,"2,4,5,4’-tetrachloro-1,1’-biphenyl",48,108,176,53.3852,5.69,35.6167,26.3909,5.623
75,PCB 075.HIN,"2,4,6,4’-tetrachloro-1,1’-biphenyl",48,108,174,52.6955,5.837,37.1667,25.7238,5.7206
76,PCB 076.HIN,"2,3’,4’,5’-tetrachloro-1,1’-biphenyl",48,110,181,54.1504,5.6228,36.25,26.6627,5.5317
77,PCB 077.HIN,"3,4,3’,4’-tetrachloro-1,1’-biphenyl",48,108,174,53.6544,5.5377,35,26.6571,5.4929
78,PCB 078.HIN,"3,4,5,3’-tetrachloro-1,1’-biphenyl",48,108,174,53.2248,5.6917,36.25,26.2381,5.5952
79,PCB 079.HIN,"3,4,3’,5’-tetrachloro-1,1’-biphenyl",48,106,167,52.1409,5.8081,36.5,25.6619,5.7048
80,PCB 080.HIN,"3,5,3’,5’-tetrachloro-1,1’-biphenyl",48,104,160,50.6274,6.0784,38,24.6667,5.9167
81,PCB 081.HIN,"3,4,5,4’-tetrachloro-1,1’-biphenyl",48,108,174,53.411,5.6353,35.6667,26.419,5.5643
82,PCB 082.HIN,"2,3,4,2’,3’-pentachloro-1,1’- biphenyl",52,122,210,59.9017,5.6846,38.9667,29.423,5.5659
83,PCB 083.HIN,"2,3,5,2’,3’-pentachloro-1,1’- biphenyl",52,120,205,58.7934,5.8756,39.3333,28.8179,5.7405
84,PCB 084.HIN,"2,3,6,2’,3’-pentachloro-1,1’- biphenyl",52,122,213,59.7965,5.7632,39.0167,29.3197,5.6477
85,PCB 085.HIN,"2,3,4,2’,4’-pentachloro-1,1’- biphenyl",52,120,203,58.853,5.811,39.0167,28.8758,5.6937
86,PCB 086.HIN,"2,3,4,5,2’-pentachloro-1,1’- biphenyl",52,122,212,59.9017,5.7679,38.9667,29.423,5.6492
87,PCB 087.HIN,"2,3,4,2’,5’-pentachloro-1,1’- biphenyl",52,120,205,58.9881,5.821,38.7167,29.0087,5.7135
88,PCB 088.HIN,"2,3,4,6,2’-pentachloro-1,1’- biphenyl",52,122,213,59.6614,5.8365,39.3167,29.1868,5.7112
89,PCB 089.HIN,"2,3,4,2’,6’-pentachloro-1,1’- biphenyl",52,122,211,59.676,5.7561,39.2667,29.2054,5.6342
90,PCB 090.HIN,"2,3,5,2’,4’-pentachloro-1,1’- biphenyl",52,118,198,57.7447,6.0019,39.3833,28.2706,5.8683
91,PCB 091.HIN,"2,3,6,2’,4’-pentachloro-1,1’- biphenyl",52,120,206,58.7478,5.8896,39.0667,28.7725,5.7755
92,PCB 092.HIN,"2,3,5,2’,5’-pentachloro-1,1’- biphenyl",52,118,200,57.8798,6.012,39.0833,28.4036,5.8881
93,PCB 093.HIN,"2,3,5,6,2’-pentachloro-1,1’- biphenyl",52,122,215,59.7819,5.8436,39.0667,29.3011,5.7247
94,PCB 094.HIN,"2,3,5,2’,6’-pentachloro-1,1’- biphenyl",52,120,206,58.5677,5.9471,39.6333,28.6003,5.8088
95,PCB 095.HIN,"2,3,6,2’,5’-pentachloro-1,1’- biphenyl",52,120,208,58.8829,5.8996,38.7667,28.9054,5.7953
96,PCB 096.HIN,"2,3,6,2’,6’-pentachloro-1,1’- biphenyl",52,122,215,59.6164,5.8363,39.25,29.1476,5.719
97,PCB 097.HIN,"2,3,2’,4’,5’-pentachloro-1,1’- biphenyl",52,120,205,59.072,5.788,38.4667,29.0849,5.6873
98,PCB 098.HIN,"2,3,2’,4’,6’-pentachloro-1,1’- biphenyl",52,120,204,58.4327,5.937,39.9333,28.4674,5.789
99,PCB 099.HIN,"2,4,5,2’,4’-pentachloro-1,1’- biphenyl",52,118,198,58.0234,5.9144,38.5167,28.5377,5.8151
100,PCB 100.HIN,"2,4,6,2’,4’-pentachloro-1,1’- biphenyl",52,118,197,57.384,6.0634,39.9833,27.9201,5.9167
101,PCB 101.HIN,"2,4,5,2’,5’-pentachloro-1,1’- biphenyl",52,118,200,58.1584,5.9244,38.2167,28.6706,5.8349
102,PCB 102.HIN,"2,4,5,2’,6’-pentachloro-1,1’- biphenyl",52,120,206,58.8464,5.8595,38.7667,28.8674,5.7556
103,PCB 103.HIN,"2,4,6,2’,5’-pentachloro-1,1’- biphenyl",52,118,199,57.5191,6.0735,39.6833,28.0531,5.9366
104,PCB 104.HIN,"2,4,6,2’,6’-pentachloro-1,1’- biphenyl",52,120,206,58.2526,6.0101,40.1667,28.2952,5.8603
105,PCB 105.HIN,"2,3,4,3’,4’-pentachloro-1,1’- biphenyl",52,120,202,59.2149,5.67,38.1167,29.229,5.5849
106,PCB 106.HIN,"2,3,4,5,3’-pentachloro-1,1’- biphenyl",52,120,204,58.9204,5.8341,39.0667,28.9429,5.7071
107,PCB 107.HIN,"2,3,5,3’,4’-pentachloro-1,1’- biphenyl",52,118,197,58.1066,5.8609,38.4833,28.6238,5.7595
108,PCB 108.HIN,"2,3,4,3’,5’-pentachloro-1,1’- biphenyl",52,118,195,57.7014,5.9403,39.6167,28.2337,5.7968
109,PCB 109.HIN,"2,3,4,6,3’-pentachloro-1,1’- biphenyl",52,120,204,58.6297,5.9006,39.5,28.6571,5.7651
110,PCB 110.HIN,"2,3,6,3’,4’-pentachloro-1,1’- biphenyl",52,120,204,59.0593,5.7465,38.25,29.0762,5.6627
111,PCB 111.HIN,"2,3,5,3’,5’-pentachloro-1,1’- biphenyl",52,116,190,56.5931,6.1313,39.9833,27.6286,5.9714
112,PCB 112.HIN,"2,3,5,6,3’-pentachloro-1,1’- biphenyl",52,120,206,58.7502,5.9076,39.25,28.7714,5.7786
113,PCB  113.HIN,"2,3,6,3’,5’-pentachloro-1,1’- biphenyl",52,118,197,57.5458,6.0169,39.75,28.081,5.8746
114,PCB  114.HIN,"2,3,4,5,4’-pentachloro-1,1’- biphenyl",52,120,204,59.1066,5.7776,38.4833,29.1238,5.6762
115,PCB  115.HIN,"2,3,4,6,4’-pentachloro-1,1’- biphenyl",52,120,204,58.8159,5.8441,38.9167,28.8381,5.7341
116,PCB  116.HIN,"2,3,4,5,6-pentachloro-1,1’-biphenyl",52,124,220,60.6663,5.774,39.5,29.6952,5.6381
117,PCB  117.HIN,"2,3,5,6,4’-pentachloro-1,1’- biphenyl",52,120,206,58.9364,5.8512,38.6667,28.9524,5.7476
118,PCB  118.HIN,"2,4,5,3’,4’-pentachloro-1,1’- biphenyl",52,118,197,58.3852,5.7734,37.6167,28.8909,5.7063
119,PCB  119.HIN,"2,4,6,3’,4’-pentachloro-1,1’- biphenyl",52,118,195,57.6955,5.9203,39.1667,28.2238,5.804
120,PCB  120.HIN,"2,4,5,3’,5’-pentachloro-1,1’- biphenyl",52,116,190,56.8717,6.0437,39.1167,27.8956,5.9183
121,PCB  121.HIN,"2,4,6,3’,5’-pentachloro-1,1’- biphenyl",52,116,188,56.182,6.1907,40.6667,27.2286,6.0159
122,PCB  122.HIN,"2,3,3’,4’,5’-pentachloro-1,1’- biphenyl",52,120,202,59.0421,5.7305,38.6167,29.0575,5.623
123,Pcb  123.hin,"2,4,3’,4’,5’-pentachloro-1,1’- biphenyl",52,118,195,57.9934,5.8568,38.6667,28.5103,5.7508
124,PCB  124.HIN,"2,5,3’,4’,5’-pentachloro-1,1’- biphenyl",52,118,197,58.1285,5.8669,38.3667,28.6433,5.7706
125,PCB  125.HIN,"2,6,3’,4’,5’-pentachloro-1,1’- biphenyl",52,120,202,58.766,5.7999,39,28.7905,5.6873
126,PCB  126.HIN,"3,4,5,3’,4’-pentachloro-1,1’- biphenyl",52,118,195,58.411,5.7186,37.6667,28.919,5.6476
127,PCB  127.HIN,"3,4,5,3’,5’-pentachloro-1,1’- biphenyl",52,116,188,56.8975,5.989,39.1667,27.9238,5.8595
128,PCB  128.HIN,"2,3,4,2’,3’,4’-hexachloro-1,1’- biphenyl",56,132,231,64.8311,5.805,41.1333,31.8563,5.6825
129,PCB  129.HIN,"2,3,4,5,2’,3’-hexachloro-1,1’- biphenyl",56,132,233,64.7934,5.8756,41.3333,31.8179,5.7405
130,PCB  130.HIN,"2,3,4,2’,3’,5’-hexachloro-1,1’- biphenyl",56,130,226,63.7228,5.996,41.5,31.2512,5.8571
131,PCB  131.HIN,"2,3,4,6,2’,3’-hexachloro-1,1’- biphenyl",56,132,234,64.5531,5.9441,41.6833,31.5816,5.8025
132,PCB  132.HIN,"2,3,4,2’,3’,6’-hexachloro-1,1’- biphenyl",56,132,234,64.7259,5.8836,41.1833,31.7531,5.7644
133,PCB  133.HIN,"2,3,5,2’,3’,5’-hexachloro-1,1’- biphenyl",56,128,221,62.6145,6.1869,41.8667,30.646,6.0317
134,PCB  134.HIN,"2,3,5,6,2’,3’-hexachloro-1,1’- biphenyl",56,132,236,64.6735,5.9512,41.4333,31.6959,5.8159
135,PCB  135.HIN,"2,3,5,2’,3’,6’-hexachloro-1,1’- biphenyl",56,130,229,63.6176,6.0746,41.55,31.1479,5.939
136,PCB  136.HIN,"2,3,6,2’,3’,6’-hexachloro-1,1’- biphenyl",56,132,231,64.8311,5.805,41.1333,31.8563,5.6825
137,PCB  137.HIN,"2,3,4,5,2’,4’-hexachloro-1,1’- biphenyl",56,130,226,63.7447,6.0019,41.3833,31.2706,5.8683
138,PCB  138.HIN,"2,3,4,2’,4’,5’-hexachloro-1,1’- biphenyl",56,130,226,64.0015,5.9084,40.6333,31.5183,5.804
139,PCB  139.HIN,"2,3,4,6,2’,4’-hexachloro-1,1’- biphenyl",56,130,227,63.5045,6.0705,41.7333,31.0344,5.9302
140,PCB  140.HIN,"2,3,4,2’,4’,6’-hexachloro-1,1’- biphenyl",56,130,225,63.3621,6.0574,42.1,30.9007,5.9056
141,PCB  141.HIN,"2,3,4,5,2’,5’-hexachloro-1,1’- biphenyl",56,130,228,63.8798,6.012,41.0833,31.4036,5.8881
142,PCB  142.HIN,"2,3,4,5,6,2’-hexachloro-1,1’- biphenyl",56,134,243,65.5118,5.9331,41.9,32.0439,5.7818
143,PCB  143.HIN,"2,3,4,5,2’,6’-hexachloro-1,1’- biphenyl",56,132,234,64.5677,5.9471,41.6333,31.6003,5.8088
144,PCB  144.HIN,"2,3,4,6,2’,5’-hexachloro-1,1’- biphenyl",56,130,229,63.6395,6.0806,41.4333,31.1674,5.9501
145,PCB  145.HIN,"2,3,4,6,2’,6’-hexachloro-1,1’- biphenyl",56,132,236,64.373,6.0172,41.9167,31.4095,5.8738
146,PCB  146.HIN,"2,3,5,2’,4’,5’-hexachloro-1,1’- biphenyl",56,128,221,62.8931,6.0994,41,30.9131,5.9786
147,PCB  147.HIN,"2,3,5,6,2’,4’-hexachloro-1,1’- biphenyl",56,130,229,63.6249,6.0776,41.4833,31.1487,5.9437
148,PCB  148.HIN,"2,3,5,2’,4’,6’-hexachloro-1,1’- biphenyl",56,128,221,62.8931,6.0994,41,30.9131,5.9786
149,PCB  149.HIN,"2,3,6,2’,4’,5’-hexachloro-1,1’- biphenyl",56,130,229,63.8962,5.987,40.6833,31.415,5.8858
150,PCB  150.HIN,"2,3,6,2’,4’,6’-hexachloro-1,1’- biphenyl",56,130,229,63.3024,6.1376,42.0833,30.8429,5.9905
151,PCB  151.HIN,"2,3,5,6,2’,5’-hexachloro-1,1’- biphenyl",56,130,231,63.76,6.0876,41.1833,31.2816,5.9636
152,PCB  152.HIN,"2,3,5,6,2’,6’-hexachloro-1,1’- biphenyl",56,132,238,64.4934,6.0243,41.6667,31.5238,5.8873
153,PCB  153.HIN,"2,4,5,2’,4’,5’-hexachloro-1,1’- biphenyl",56,128,221,63.1718,6.0118,40.1333,31.1802,5.9254
154,PCB  154.HIN,"2,4,5,2’,4’,6’-hexachloro-1,1’- biphenyl",56,128,220,62.5324,6.1608,41.6,30.5626,6.0271
155,PCB  155.HIN,"2,4,6,2’,4’,6’-hexachloro-1,1’- biphenyl",56,128,220,61.9386,6.3114,43,29.9905,6.1317
156,PCB  156.HIN,"2,3,4,5,3’,4’-hexachloro-1,1’- biphenyl",56,130,225,64.1066,5.8609,40.4833,31.6238,5.7595
157,PCB  157.HIN,"2,3,4,3’,4’,5’-hexachloro-1,1’- biphenyl",56,130,223,63.9715,5.8509,40.7833,31.4909,5.7397
158,PCB  158.HIN,"2,3,4,6,3’,4’-hexachloro-1,1’- biphenyl",56,130,225,63.8159,5.9274,40.9167,31.3381,5.8175
159,PCB  159.HIN,"2,3,4,5,3’,5’-hexachloro-1,1’- biphenyl",56,128,218,62.5931,6.1313,41.9833,30.6286,5.9714
160,PCB  160.HIN,"2,3,4,5,6,3’-hexachloro-1,1’- biphenyl",56,132,234,64.4801,5.9971,42.0833,31.5143,5.8357
161,PCB  161.HIN ,"2,3,4,6,3’,5’-hexachloro-1,1’- biphenyl",56,128,220,62.4229,6.2049,42.1667,30.4571,6.0429
162,PCB 162.HIN,"2,3,5,3’,4’,5’-hexachloro-1,1’- biphenyl",56,128,218,62.8632,6.0418,41.15,30.8857,5.9143
163,PCB 163.HIN,"2,3,5,6,3’,4’-hexachloro-1,1’- biphenyl",56,130,227,63.9364,5.9345,40.6667,31.4524,5.831
164,PCB 164.HIN,"2,3,6,3’,4’,5’-hexachloro-1,1’- biphenyl",56,130,229,63.8962,5.987,40.6833,31.415,5.8858
165,PCB 165.HIN,"2,3,5,6,3’,5’-hexachloro-1,1’- biphenyl",56,128,220,62.4229,6.2049,42.1667,30.4571,6.0429
166,PCB 166.HIN,"2,3,4,5,6,4’-hexachloro-1,1’- biphenyl",56,132,234,64.6663,5.9407,41.5,31.6952,5.8048
167,PCB 167.HIN,"2,4,5,3’,4’,5’-hexachloro-1,1’- biphenyl",56,128,218,63.1418,5.9543,40.2833,31.1528,5.8611
168,PCB 168.HIN,"2,4,6,3’,4’,5’-hexachloro-1,1’- biphenyl",56,128,216,62.4521,6.1012,41.8333,30.4857,5.9587
169,PCB 169.HIN,"3,4,5,3’,4’,5’-hexachloro-1,1’-biphenyl",56,128,216,63.1676,5.8995,40.3333,31.181,5.8024
170,PCB 170.HIN,"2,3,4,5,2’,3’,4’-heptachloro-1,1’-biphenyl",60,142,254,69.7228,5.996,43.5,34.2512,5.8571
171,PCB 171.HIN,"2,3,4,6,2’,3’,4’-heptachloro-1,1’-biphenyl",60,142,255,69.4825,6.0645,43.85,34.015,5.9191
172,PCB 172.HIN,"2,3,4,5,2’,3’,5’-heptachloro-1,1’-biphenyl",60,140,249,68.6145,6.1869,43.8667,33.646,6.0317
173,PCB 173.HIN,"2,3,4,5,6,2’,3’-heptachloro-1,1’-biphenyl",60,144,264,70.4034,6.0407,44.2667,34.4388,5.8731
174,PCB 174.HIN,"2,3,4,5,2’,3’,6’-heptachloro-1,1’-biphenyl",60,142,257,69.6176,6.0746,43.55,34.1479,5.939
175,PCB 175.HIN,"2,3,4,6,2’,3’,5’-heptachloro-1,1’-biphenyl",60,140,250,68.3742,6.2555,44.2167,33.4098,6.0937
176,PCB 176.HIN,"2,3,4,6,2’,3’,6’-heptachloro-1,1’-biphenyl",60,142,259,69.4229,6.1447,43.8333,33.9571,6.004
177,PCB 177.HIN,"2,3,4,2’,3’,5’,6’-heptachloro-1,1’-biphenyl",60,142,257,69.603,6.0716,43.6,34.1293,5.9326
178,PCB 178.HIN,"2,3,5,6,2’,3’,5’-heptachloro-1,1’-biphenyl",60,140,252,68.4947,6.2626,43.9667,33.5241,6.1072
179,PCB 179.HIN,"2,3,5,6,2’,3’,6’-heptachloro-1,1’-biphenyl",60,142,261,69.5433,6.1518,43.5833,34.0714,6.0175
180,PCB 180.HIN,"2,3,4,5,2’,4’,5’-heptachloro-1,1’-biphenyl",60,140,249,68.8931,6.0994,43,33.9131,5.9786
181,PCB 181.HIN,"2,3,4,5,6,2’,4’-heptachloro-1,1’-biphenyl",60,142,257,69.3548,6.167,44.3167,33.8916,6.0009
182,PCB 182.HIN,"2,3,4,5,2’,4’,6’-heptachloro-1,1’-biphenyl",60,140,248,68.2538,6.2484,44.4667,33.2955,6.0802
183,PCB 183.HIN,"2,3,4,6,2’,4’,5’-heptachloro-1,1’-biphenyl",60,140,250,68.6529,6.1679,43.35,33.6769,6.0405
184,PCB 184.HIN,"2,3,4,6,2’,4’,6’-heptachloro-1,1’-biphenyl",60,140,250,68.0591,6.3185,44.75,33.1048,6.1452
185,PCB 185.HIN,"2,3,4,5,6,2’,5’-heptachloro-1,1’-biphenyl",60,142,259,69.4898,6.1771,44.0167,34.0245,6.0207
186,PCB 186.HIN,"2,3,4,5,6,2’,6’-heptachloro-1,1’-biphenyl",60,144,266,70.2233,6.1137,44.5,34.2667,5.9444
187,PCB 187.HIN,"2,3,5,6,2’,4’,5’-heptachloro-1,1’-biphenyl",60,140,252,68.7733,6.175,43.1,33.7912,6.054
188,PCB 188.HIN,"2,3,5,6,2’,4’,6’-heptachloro-1,1’-biphenyl",60,140,252,68.1795,6.3256,44.5,33.219,6.1587
189,PCB 189.HIN,"2,3,4,5,3’,4’,5’-heptachloro-1,1’-biphenyl",60,140,246,68.8632,6.0418,43.15,33.8857,5.9143
190,PCB 190.HIN,"2,3,4,5,6,3’,4’-heptachloro-1,1’-biphenyl",60,142,255,69.6663,6.024,43.5,34.1952,5.8881
191,PCB 191.HIN,"2,3,4,6,3’,4’,5’-heptachloro-1,1’-biphenyl",60,140,246,68.5726,6.1083,43.5833,33.6,5.9722
192,PCB 192.HIN,"2,3,4,5,6,3’,5’-heptachloro-1,1’-biphenyl",60,140,248,68.1528,6.2944,45,33.2,6.1
193,PCB 193.HIN,"2,3,5,6,3’,4’,5’-heptachloro-1,1’-biphenyl",60,140,248,68.693,6.1154,43.3333,33.7143,5.9857
194,PCB 194.HIN,"2,3,4,5,2’,3’,4’,5’-octachloro-1,1’-biphenyl",64,152,277,74.6145,6.1869,45.8667,36.646,6.0317
195,PCB 195.HIN,"2,3,4,5,6,2’,3’,4’-octachloro-1,1’-biphenyl",64,154,285,75.3329,6.1611,46.4333,36.8721,5.9898
